Wind_Speed,Wind_Direction,U_Vector,V_Vector,W_Vector,Temperature,Relative_Humidity,Pressure,Compass_Heading,Pitch,Roll,Timestamp
0.08,136.0,-0.06,0.06,0.01,24.75,39.61,1009.34,-179.9,179.9,287.0,2025-11-26 14:43:37
0.05,138.0,-0.03,0.03,-0.01,24.75,39.65,1009.38,-179.9,180.0,290.0,2025-11-26 14:43:37
0.06,130.0,-0.04,0.04,-0.0,24.77,39.68,1009.35,-179.9,-179.9,287.0,2025-11-26 14:43:37
0.07,157.0,-0.03,0.07,0.0,24.8,39.63,1009.36,-179.9,-180.0,294.0,2025-11-26 14:43:38
0.08,171.0,-0.01,0.08,0.02,24.74,39.63,1009.37,-179.9,-179.9,289.0,2025-11-26 14:43:38
0.08,176.0,-0.01,0.08,0.0,24.7,39.65,1009.35,-179.9,180.0,288.0,2025-11-26 14:43:38
0.06,191.0,0.01,0.06,0.01,24.68,39.68,1009.38,-179.9,-180.0,288.0,2025-11-26 14:43:38
0.07,210.0,0.03,0.06,0.0,24.69,39.6,1009.37,-179.8,-180.0,289.0,2025-11-26 14:43:38
0.09,224.0,0.06,0.06,0.0,24.68,39.66,1009.36,-179.9,179.9,287.0,2025-11-26 14:43:39
0.09,203.0,0.04,0.08,-0.0,24.62,39.62,1009.4,-179.8,179.9,291.0,2025-11-26 14:43:39
0.06,190.0,0.01,0.06,0.01,24.63,39.67,1009.35,-179.8,179.9,287.0,2025-11-26 14:43:39
0.05,196.0,0.01,0.05,0.02,24.67,39.63,1009.34,-179.8,179.9,287.0,2025-11-26 14:43:39
0.07,191.0,0.01,0.07,0.02,24.69,39.6,1009.35,-179.9,-179.9,288.0,2025-11-26 14:43:39
0.08,181.0,0.0,0.08,0.01,24.67,39.68,1009.36,-179.9,-179.9,290.0,2025-11-26 14:43:40
0.07,190.0,0.01,0.06,0.01,24.69,39.65,1009.35,-179.9,-179.9,287.0,2025-11-26 14:43:40
0.07,185.0,0.01,0.06,0.02,24.75,39.65,1009.36,-179.9,-179.8,287.0,2025-11-26 14:43:40
0.07,165.0,-0.02,0.06,0.03,24.75,39.65,1009.36,-179.8,-180.0,286.0,2025-11-26 14:43:40
0.07,182.0,0.0,0.07,0.02,24.75,39.62,1009.37,-179.8,179.9,288.0,2025-11-26 14:43:40
0.05,189.0,0.01,0.04,0.02,24.75,39.59,1009.35,-179.7,179.8,287.0,2025-11-26 14:43:41
0.07,179.0,-0.0,0.06,0.04,24.76,39.65,1009.35,-179.8,179.8,287.0,2025-11-26 14:43:41
0.06,162.0,-0.02,0.05,0.03,24.77,39.64,1009.34,-179.9,179.8,289.0,2025-11-26 14:43:41
0.06,118.0,-0.04,0.02,0.03,24.77,39.62,1009.34,-179.8,179.8,286.0,2025-11-26 14:43:41
0.08,121.0,-0.07,0.04,0.02,24.78,39.61,1009.38,-179.8,179.7,285.0,2025-11-26 14:43:41
0.09,137.0,-0.06,0.06,0.02,24.75,39.66,1009.35,-179.8,179.9,287.0,2025-11-26 14:43:42
0.07,138.0,-0.04,0.05,0.01,24.74,39.64,1009.35,-179.9,180.0,285.0,2025-11-26 14:43:42
0.06,140.0,-0.04,0.05,-0.0,24.74,39.64,1009.36,-179.8,179.9,289.0,2025-11-26 14:43:42
0.09,144.0,-0.05,0.08,0.0,24.76,39.63,1009.36,-179.9,-180.0,287.0,2025-11-26 14:43:42
0.08,133.0,-0.05,0.05,0.01,24.78,39.63,1009.35,-179.8,179.7,287.0,2025-11-26 14:43:42
0.09,139.0,-0.05,0.06,0.03,24.7,39.65,1009.35,-179.9,180.0,286.0,2025-11-26 14:43:43
0.11,152.0,-0.05,0.1,0.01,24.64,39.62,1009.34,-179.9,-180.0,287.0,2025-11-26 14:43:43
0.12,162.0,-0.04,0.12,0.0,24.59,39.67,1009.33,-179.8,-179.9,288.0,2025-11-26 14:43:43
0.14,154.0,-0.06,0.13,-0.01,24.54,39.65,1009.32,-179.8,-180.0,289.0,2025-11-26 14:43:43
0.13,162.0,-0.04,0.12,0.01,24.58,39.63,1009.32,-179.8,179.9,290.0,2025-11-26 14:43:43
0.11,155.0,-0.04,0.1,-0.01,24.6,39.67,1009.35,-179.9,-179.9,289.0,2025-11-26 14:43:44
0.09,152.0,-0.04,0.08,-0.0,24.66,39.65,1009.33,-179.9,-180.0,291.0,2025-11-26 14:43:44
0.07,169.0,-0.01,0.07,0.01,24.7,39.64,1009.34,-179.8,179.7,288.0,2025-11-26 14:43:44
0.07,184.0,0.0,0.07,0.01,24.71,39.65,1009.35,-180.0,-179.8,288.0,2025-11-26 14:43:44
0.09,187.0,0.01,0.09,0.02,24.62,39.64,1009.35,-179.9,-179.8,285.0,2025-11-26 14:43:44
0.07,183.0,0.0,0.07,0.0,24.64,39.66,1009.34,-179.8,179.9,291.0,2025-11-26 14:43:45
0.06,181.0,0.0,0.06,0.01,24.7,39.64,1009.38,-179.9,-179.8,292.0,2025-11-26 14:43:45
0.06,176.0,-0.0,0.06,0.02,24.77,39.64,1009.36,-179.9,-179.9,290.0,2025-11-26 14:43:45
0.06,184.0,0.0,0.06,0.01,24.75,39.61,1009.35,-179.9,-179.9,289.0,2025-11-26 14:43:45
0.06,168.0,-0.01,0.06,0.0,24.73,39.63,1009.35,-179.9,-179.9,289.0,2025-11-26 14:43:45
0.05,159.0,-0.02,0.04,0.01,24.77,39.65,1009.34,-179.8,179.9,292.0,2025-11-26 14:43:46
0.05,166.0,-0.01,0.05,0.01,24.79,39.65,1009.33,-179.9,179.9,286.0,2025-11-26 14:43:46
0.04,165.0,-0.01,0.04,0.01,24.8,39.65,1009.35,-179.9,180.0,287.0,2025-11-26 14:43:46
0.05,136.0,-0.03,0.03,0.02,24.84,39.65,1009.36,-179.9,180.0,289.0,2025-11-26 14:43:46
